county,median_sale_price,ppsf_year_avg,property_type,state,year
Forsyth,450000.0,172.20947369436814,All Residential,Georgia,2021
Marquette,150000.0,120.1019658116512,Multi-Family (2-4 Unit),Wisconsin,2021
White,251000.0,162.6531370884262,Single Family Residential,Georgia,2021
Pope,191000.0,139.80763710796842,All Residential,Minnesota,2021
Huron,155000.0,101.54269381399808,Single Family Residential,Michigan,2021
Glynn,443500.0,184.39623362074929,Condo/Co-op,Georgia,2021
Dougherty,80220.0,49.05636026175375,All Residential,Georgia,2021
Washita,86250.0,58.473529595902335,Single Family Residential,Oklahoma,2021
Trumbull,127200.0,79.82891061822399,Single Family Residential,Ohio,2021
Butler,270000.0,146.9368618256495,Condo/Co-op,Pennsylvania,2021
Racine,180000.0,120.98860679542044,Condo/Co-op,Wisconsin,2021
Buffalo,150000.0,90.94017259291104,All Residential,Wisconsin,2021
Prince George's,395000.0,206.99261439135984,All Residential,Maryland,2021
Comanche,132000.0,69.9020540998889,All Residential,Oklahoma,2021
Calhoun,141000.0,81.61222437873592,Single Family Residential,Alabama,2021
Twin Falls,150000.0,174.8010213638265,Condo/Co-op,Idaho,2021
Boone,136275.0,115.15328776630255,All Residential,Iowa,2021
St. John the Baptist Parish,135000.0,99.77885208797876,All Residential,Louisiana,2021
Choctaw,37250.0,78.88772846097339,All Residential,Oklahoma,2021
Brevard,540000.0,182.97306442097803,Multi-Family (2-4 Unit),Florida,2021
Champaign,125500.0,111.3959945488874,Condo/Co-op,Illinois,2021
Morris,499000.0,105.45991465096937,All Residential,Texas,2021
Linn,320500.0,213.2022468878193,All Residential,Oregon,2021
Carroll,179900.0,121.65156034289336,Multi-Family (2-4 Unit),Arkansas,2021
Outagamie,213900.0,119.08437585134445,Condo/Co-op,Wisconsin,2021
Franklin,359000.0,171.98723851241496,Single Family Residential,Texas,2021
San Bernardino,500000.0,287.8108948572197,Multi-Family (2-4 Unit),California,2021
Fayette,119500.0,86.56454364948904,Single Family Residential,Indiana,2021
Clark,136500.0,92.53439809456488,All Residential,Wisconsin,2021
Boulder,690250.0,335.0744918288748,All Residential,Colorado,2021
Bell,230000.0,119.96706206527465,Single Family Residential,Texas,2021
Volusia,261250.0,175.60069302055985,Condo/Co-op,Florida,2021
San Francisco,1525750.0,954.7197482054314,Single Family Residential,California,2021
Fayette,145000.0,85.77284535275726,All Residential,Pennsylvania,2021
Lapeer,271250.0,137.84398480290156,All Residential,Michigan,2021
Lincoln,322500.0,159.9398033604919,Townhouse,North Carolina,2021
Orange,323000.0,200.2220395834089,All Residential,North Carolina,2021
Huron,171000.0,101.54269381399808,All Residential,Michigan,2021
George,152500.0,107.09774254733448,All Residential,Mississippi,2021
Mower,170000.0,97.71721838817858,Single Family Residential,Minnesota,2021
Floyd,125000.0,120.362427987066,Condo/Co-op,Indiana,2021
Cass,379000.0,189.98424573466903,Condo/Co-op,Minnesota,2021
